loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_mean_iou,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.0026,0.024021392688155174,4.7775e-05,4.45,4450,,,,,,,,,,,,,
0.0024,0.07109690457582474,4.775e-05,4.5,4500,,,,,,,,,,,,,
0.0022,0.05036040395498276,4.7725e-05,4.55,4550,,,,,,,,,,,,,
0.0023,0.030094340443611145,4.77e-05,4.6,4600,,,,,,,,,,,,,
0.0024,0.030950693413615227,4.7675e-05,4.65,4650,,,,,,,,,,,,,
0.0023,0.027037646621465683,4.765e-05,4.7,4700,,,,,,,,,,,,,
0.0024,0.0251825712621212,4.7625000000000006e-05,4.75,4750,,,,,,,,,,,,,
0.0023,0.03722893074154854,4.76e-05,4.8,4800,,,,,,,,,,,,,
0.0023,0.08299184590578079,4.7575000000000004e-05,4.85,4850,,,,,,,,,,,,,
0.0023,0.03673960268497467,4.755e-05,4.9,4900,,,,,,,,,,,,,
0.0022,0.031983885914087296,4.7525e-05,4.95,4950,,,,,,,,,,,,,
0.0023,0.0515177845954895,4.75e-05,5.0,5000,,,,,,,,,,,,,
,,,5.0,5000,0.0019550241995602846,0.7974522798548086,0.6839137172506982,0.7142226148408842,0.6560724912089997,18.9393,52.8,13.2,,,,,
0.0021,0.022152483463287354,4.7475e-05,5.05,5050,,,,,,,,,,,,,
0.0023,0.050564106553792953,4.745e-05,5.1,5100,,,,,,,,,,,,,
0.0022,0.05007397383451462,4.7425e-05,5.15,5150,,,,,,,,,,,,,
0.0023,0.022658728063106537,4.74e-05,5.2,5200,,,,,,,,,,,,,
0.0021,0.06453747302293777,4.7375e-05,5.25,5250,,,,,,,,,,,,,
0.0022,0.07773882895708084,4.735e-05,5.3,5300,,,,,,,,,,,,,
0.0023,0.1258648782968521,4.7325000000000005e-05,5.35,5350,,,,,,,,,,,,,
0.0021,0.07593154162168503,4.73e-05,5.4,5400,,,,,,,,,,,,,
0.002,0.08774881809949875,4.7275000000000004e-05,5.45,5450,,,,,,,,,,,,,
0.0022,0.10909819602966309,4.7249999999999997e-05,5.5,5500,,,,,,,,,,,,,
0.002,0.03608500584959984,4.7225e-05,5.55,5550,,,,,,,,,,,,,
0.0018,0.05756377801299095,4.72e-05,5.6,5600,,,,,,,,,,,,,
0.0022,0.03635276108980179,4.7175e-05,5.65,5650,,,,,,,,,,,,,
0.0022,0.046857208013534546,4.715e-05,5.7,5700,,,,,,,,,,,,,
0.0023,0.07811644673347473,4.7125e-05,5.75,5750,,,,,,,,,,,,,
0.002,0.051972631365060806,4.71e-05,5.8,5800,,,,,,,,,,,,,
0.0022,0.043770160526037216,4.7075e-05,5.85,5850,,,,,,,,,,,,,
0.0021,0.1621474325656891,4.705e-05,5.9,5900,,,,,,,,,,,,,
0.002,0.021509995684027672,4.7025000000000005e-05,5.95,5950,,,,,,,,,,,,,
0.002,0.06396191567182541,4.7e-05,6.0,6000,,,,,,,,,,,,,
,,,6.0,6000,0.0017991430358961225,0.8020983890631503,0.7369231841514616,0.7640482067662604,0.711658101163009,19.7865,50.539,12.635,,,,,
0.0019,0.05630270764231682,4.6975000000000003e-05,6.05,6050,,,,,,,,,,,,,
0.0019,0.020558422431349754,4.695e-05,6.1,6100,,,,,,,,,,,,,
0.0019,0.030248668044805527,4.6925e-05,6.15,6150,,,,,,,,,,,,,
0.002,0.023780295625329018,4.69e-05,6.2,6200,,,,,,,,,,,,,
0.0018,0.09279509633779526,4.6875e-05,6.25,6250,,,,,,,,,,,,,
0.002,0.041107963770627975,4.685000000000001e-05,6.3,6300,,,,,,,,,,,,,
0.0017,0.020506078377366066,4.6825e-05,6.35,6350,,,,,,,,,,,,,
0.0019,0.04384227469563484,4.6800000000000006e-05,6.4,6400,,,,,,,,,,,,,
0.0019,0.07355649769306183,4.6775000000000005e-05,6.45,6450,,,,,,,,,,,,,
0.0019,0.04168419539928436,4.6750000000000005e-05,6.5,6500,,,,,,,,,,,,,
0.002,0.016022659838199615,4.6725000000000004e-05,6.55,6550,,,,,,,,,,,,,
0.0019,0.017450476065278053,4.6700000000000003e-05,6.6,6600,,,,,,,,,,,,,
0.0019,0.05275028198957443,4.6675e-05,6.65,6650,,,,,,,,,,,,,
0.0021,0.04334903135895729,4.665e-05,6.7,6700,,,,,,,,,,,,,
0.0021,0.03628693148493767,4.6625e-05,6.75,6750,,,,,,,,,,,,,
0.0019,0.06326215714216232,4.660000000000001e-05,6.8,6800,,,,,,,,,,,,,
0.0019,0.040579624474048615,4.6575e-05,6.85,6850,,,,,,,,,,,,,
0.0018,0.06401686370372772,4.655000000000001e-05,6.9,6900,,,,,,,,,,,,,
0.0017,0.016073785722255707,4.6525e-05,6.95,6950,,,,,,,,,,,,,
0.0017,0.01605830155313015,4.6500000000000005e-05,7.0,7000,,,,,,,,,,,,,
,,,7.0,7000,0.0017237610882148147,0.8021357124570717,0.7857544249010346,0.8174510377081529,0.7564241276709823,19.5786,51.076,12.769,,,,,
0.0018,0.06702157855033875,4.6475000000000005e-05,7.05,7050,,,,,,,,,,,,,
0.0016,0.028590349480509758,4.6450000000000004e-05,7.1,7100,,,,,,,,,,,,,
0.0017,0.09584766626358032,4.6425000000000004e-05,7.15,7150,,,,,,,,,,,,,
0.0019,0.07342307269573212,4.64e-05,7.2,7200,,,,,,,,,,,,,
0.002,0.03783513233065605,4.6375e-05,7.25,7250,,,,,,,,,,,,,
0.0018,0.0240460392087698,4.635e-05,7.3,7300,,,,,,,,,,,,,
0.0017,0.02939791977405548,4.6325e-05,7.35,7350,,,,,,,,,,,,,
0.0017,0.037691324949264526,4.630000000000001e-05,7.4,7400,,,,,,,,,,,,,
0.0017,0.023212390020489693,4.6275e-05,7.45,7450,,,,,,,,,,,,,
0.0015,0.035056017339229584,4.6250000000000006e-05,7.5,7500,,,,,,,,,,,,,
0.002,0.110748790204525,4.6225e-05,7.55,7550,,,,,,,,,,,,,
0.0017,0.042476534843444824,4.6200000000000005e-05,7.6,7600,,,,,,,,,,,,,
0.0015,0.026187120005488396,4.6175000000000004e-05,7.65,7650,,,,,,,,,,,,,
0.0018,0.08373705297708511,4.6150000000000004e-05,7.7,7700,,,,,,,,,,,,,
0.0017,0.02688692882657051,4.6125e-05,7.75,7750,,,,,,,,,,,,,
0.0017,0.009109356440603733,4.61e-05,7.8,7800,,,,,,,,,,,,,
0.0017,0.05400027334690094,4.6075e-05,7.85,7850,,,,,,,,,,,,,
0.0016,0.0255198385566473,4.605e-05,7.9,7900,,,,,,,,,,,,,
0.0016,0.03316725417971611,4.6025e-05,7.95,7950,,,,,,,,,,,,,
0.0019,0.02933848462998867,4.600000000000001e-05,8.0,8000,,,,,,,,,,,,,
,,,8.0,8000,0.0016277118120342493,0.8009491012015177,0.7787660590801283,0.8145304193737721,0.7460102786041728,20.3769,49.075,12.269,,,,,
0.0016,0.037268880754709244,4.5975e-05,8.05,8050,,,,,,,,,,,,,
0.0016,0.05245136097073555,4.5950000000000006e-05,8.1,8100,,,,,,,,,,,,,
0.0016,0.08376113325357437,4.5925e-05,8.15,8150,,,,,,,,,,,,,
0.0017,0.02589958719909191,4.5900000000000004e-05,8.2,8200,,,,,,,,,,,,,
0.0016,0.03978114575147629,4.5875000000000004e-05,8.25,8250,,,,,,,,,,,,,
0.0016,0.028277495875954628,4.585e-05,8.3,8300,,,,,,,,,,,,,
0.0015,0.04106222093105316,4.5825e-05,8.35,8350,,,,,,,,,,,,,
0.0016,0.08998356014490128,4.58e-05,8.4,8400,,,,,,,,,,,,,
0.0016,0.051250796765089035,4.5775e-05,8.45,8450,,,,,,,,,,,,,
0.0015,0.0587761215865612,4.575e-05,8.5,8500,,,,,,,,,,,,,
0.0017,0.033308565616607666,4.5725e-05,8.55,8550,,,,,,,,,,,,,
0.0017,0.0388614758849144,4.5700000000000006e-05,8.6,8600,,,,,,,,,,,,,
0.0017,0.027085497975349426,4.5675e-05,8.65,8650,,,,,,,,,,,,,
0.0018,0.05199548229575157,4.5650000000000005e-05,8.7,8700,,,,,,,,,,,,,
0.0017,0.023524751886725426,4.5625e-05,8.75,8750,,,,,,,,,,,,,
0.0017,0.046839043498039246,4.5600000000000004e-05,8.8,8800,,,,,,,,,,,,,
0.0016,0.139083132147789,4.5575e-05,8.85,8850,,,,,,,,,,,,,
0.0016,0.04751036688685417,4.555e-05,8.9,8900,,,,,,,,,,,,,
0.0017,0.022765079513192177,4.5525e-05,8.95,8950,,,,,,,,,,,,,
0.0016,0.03300957381725311,4.55e-05,9.0,9000,,,,,,,,,,,,,
,,,9.0,9000,0.0014683661283925176,0.8104550120206582,0.7878744848056876,0.8291990436340662,0.7504733567756626,18.9745,52.702,13.176,,,,,
0.0016,0.043332163244485855,4.5475e-05,9.05,9050,,,,,,,,,,,,,
0.0016,0.06875003129243851,4.545000000000001e-05,9.1,9100,,,,,,,,,,,,,
0.0014,0.03486664593219757,4.5425e-05,9.15,9150,,,,,,,,,,,,,
0.0015,0.031461331993341446,4.5400000000000006e-05,9.2,9200,,,,,,,,,,,,,
0.0016,0.039777304977178574,4.5375e-05,9.25,9250,,,,,,,,,,,,,
0.0014,0.05502951517701149,4.5350000000000005e-05,9.3,9300,,,,,,,,,,,,,
0.0016,0.06455520540475845,4.5325000000000004e-05,9.35,9350,,,,,,,,,,,,,
0.0015,0.05903327465057373,4.53e-05,9.4,9400,,,,,,,,,,,,,
0.0015,0.0355026051402092,4.5275e-05,9.45,9450,,,,,,,,,,,,,
0.0016,0.06587202847003937,4.525e-05,9.5,9500,,,,,,,,,,,,,
0.0014,0.03595583885908127,4.5225e-05,9.55,9550,,,,,,,,,,,,,
0.0016,0.027543164789676666,4.52e-05,9.6,9600,,,,,,,,,,,,,
0.0014,0.04370913282036781,4.5175e-05,9.65,9650,,,,,,,,,,,,,
0.0016,0.04188848286867142,4.5150000000000006e-05,9.7,9700,,,,,,,,,,,,,
0.0016,0.04034360498189926,4.5125e-05,9.75,9750,,,,,,,,,,,,,
0.0014,0.09511410444974899,4.5100000000000005e-05,9.8,9800,,,,,,,,,,,,,
0.0015,0.051501404494047165,4.5075e-05,9.85,9850,,,,,,,,,,,,,
0.0016,0.043568432331085205,4.5050000000000004e-05,9.9,9900,,,,,,,,,,,,,
0.0013,0.03515361621975899,4.5025000000000003e-05,9.95,9950,,,,,,,,,,,,,
0.0016,0.03670113906264305,4.5e-05,10.0,10000,,,,,,,,,,,,,
,,,10.0,10000,0.0014405861729755998,0.8127464810072503,0.8348492096483457,0.8443768156037011,0.8255342169325364,19.4818,51.33,12.833,,,,,
0.0014,0.015874600037932396,4.4975e-05,10.05,10050,,,,,,,,,,,,,
0.0015,0.07723777741193771,4.495e-05,10.1,10100,,,,,,,,,,,,,
0.0014,0.04776279628276825,4.4925e-05,10.15,10150,,,,,,,,,,,,,
0.0015,0.04443502798676491,4.49e-05,10.2,10200,,,,,,,,,,,,,
0.0013,0.019086185842752457,4.4875e-05,10.25,10250,,,,,,,,,,,,,
0.0014,0.037992432713508606,4.4850000000000006e-05,10.3,10300,,,,,,,,,,,,,
0.0015,0.04390107840299606,4.4825e-05,10.35,10350,,,,,,,,,,,,,
0.0014,0.06506302952766418,4.4800000000000005e-05,10.4,10400,,,,,,,,,,,,,
0.0014,0.06317561864852905,4.4775e-05,10.45,10450,,,,,,,,,,,,,
0.0014,0.057775530964136124,4.4750000000000004e-05,10.5,10500,,,,,,,,,,,,,
0.0016,0.04359522834420204,4.4725e-05,10.55,10550,,,,,,,,,,,,,
0.0013,0.0853625237941742,4.47e-05,10.6,10600,,,,,,,,,,,,,
0.0015,0.05549374222755432,4.4675e-05,10.65,10650,,,,,,,,,,,,,
0.0013,0.01976745016872883,4.465e-05,10.7,10700,,,,,,,,,,,,,
0.0015,0.01891191489994526,4.4625e-05,10.75,10750,,,,,,,,,,,,,
0.0015,0.028107743710279465,4.46e-05,10.8,10800,,,,,,,,,,,,,
0.0016,0.047154054045677185,4.4575e-05,10.85,10850,,,,,,,,,,,,,
0.0016,0.1234491765499115,4.4550000000000005e-05,10.9,10900,,,,,,,,,,,,,
0.0015,0.0652351826429367,4.4525e-05,10.95,10950,,,,,,,,,,,,,
0.0014,0.07859354466199875,4.4500000000000004e-05,11.0,11000,,,,,,,,,,,,,
,,,11.0,11000,0.0017573200166225433,0.8083205699772228,0.8241612605731286,0.8509289932304693,0.7990262374897485,18.8708,52.992,13.248,,,,,
0.0014,0.05043923854827881,4.4475e-05,11.05,11050,,,,,,,,,,,,,
0.0014,0.044761963188648224,4.445e-05,11.1,11100,,,,,,,,,,,,,
0.0014,0.019224008545279503,4.4425e-05,11.15,11150,,,,,,,,,,,,,
0.0014,0.04124121740460396,4.44e-05,11.2,11200,,,,,,,,,,,,,
0.0014,0.01782393828034401,4.4375e-05,11.25,11250,,,,,,,,,,,,,
0.0015,0.09103323519229889,4.435e-05,11.3,11300,,,,,,,,,,,,,
0.0014,0.06672146916389465,4.4325e-05,11.35,11350,,,,,,,,,,,,,
0.0013,0.07263855636119843,4.43e-05,11.4,11400,,,,,,,,,,,,,
0.0014,0.05550345778465271,4.4275e-05,11.45,11450,,,,,,,,,,,,,
0.0015,0.05189325660467148,4.4250000000000005e-05,11.5,11500,,,,,,,,,,,,,
0.0014,0.04278009757399559,4.4225e-05,11.55,11550,,,,,,,,,,,,,
0.0013,0.08287041634321213,4.4200000000000004e-05,11.6,11600,,,,,,,,,,,,,
0.0016,0.06823840737342834,4.4174999999999996e-05,11.65,11650,,,,,,,,,,,,,
0.0014,0.05226384848356247,4.415e-05,11.7,11700,,,,,,,,,,,,,
0.0014,0.02562989853322506,4.4125e-05,11.75,11750,,,,,,,,,,,,,
0.0015,0.06650353223085403,4.41e-05,11.8,11800,,,,,,,,,,,,,
0.0015,0.07226965576410294,4.4075e-05,11.85,11850,,,,,,,,,,,,,
0.0014,0.0698091983795166,4.405e-05,11.9,11900,,,,,,,,,,,,,
0.0016,0.11503782868385315,4.4025e-05,11.95,11950,,,,,,,,,,,,,
0.0012,0.02574954554438591,4.4000000000000006e-05,12.0,12000,,,,,,,,,,,,,
,,,12.0,12000,0.004233593121170998,0.640716839377295,0.14221056595900494,0.10346525512401653,0.22734649715982858,20.4101,48.995,12.249,,,,,
0.0014,0.04339705780148506,4.3975e-05,12.05,12050,,,,,,,,,,,,,
0.0013,0.024639643728733063,4.3950000000000004e-05,12.1,12100,,,,,,,,,,,,,
0.0013,0.018895387649536133,4.3925e-05,12.15,12150,,,,,,,,,,,,,
0.0014,0.054563216865062714,4.39e-05,12.2,12200,,,,,,,,,,,,,
0.0014,0.1052151620388031,4.3875e-05,12.25,12250,,,,,,,,,,,,,
0.0013,0.04809679090976715,4.385e-05,12.3,12300,,,,,,,,,,,,,
0.0014,0.07926628738641739,4.3825e-05,12.35,12350,,,,,,,,,,,,,
0.0014,0.04179814085364342,4.38e-05,12.4,12400,,,,,,,,,,,,,
0.0014,0.07657383382320404,4.3775e-05,12.45,12450,,,,,,,,,,,,,
0.0013,0.03645278885960579,4.375e-05,12.5,12500,,,,,,,,,,,,,
0.0012,0.026572473347187042,4.3725000000000006e-05,12.55,12550,,,,,,,,,,,,,
0.0013,0.06704209744930267,4.3700000000000005e-05,12.6,12600,,,,,,,,,,,,,
0.0013,0.04931273311376572,4.3675000000000005e-05,12.65,12650,,,,,,,,,,,,,
0.0013,0.028514351695775986,4.3650000000000004e-05,12.7,12700,,,,,,,,,,,,,
0.0013,0.024567998945713043,4.3625e-05,12.75,12750,,,,,,,,,,,,,
0.0013,0.026054421439766884,4.36e-05,12.8,12800,,,,,,,,,,,,,
0.0013,0.024880696088075638,4.3575e-05,12.85,12850,,,,,,,,,,,,,
0.0015,0.023831723257899284,4.355e-05,12.9,12900,,,,,,,,,,,,,
0.0014,0.021133245900273323,4.352500000000001e-05,12.95,12950,,,,,,,,,,,,,
0.0015,0.02901601605117321,4.35e-05,13.0,13000,,,,,,,,,,,,,
,,,13.0,13000,0.0027833138592541218,0.7757476822262024,0.7323531558195207,0.7975147363388884,0.6770354341356941,19.0754,52.423,13.106,,,,,
0.0014,0.03694097325205803,4.3475000000000006e-05,13.05,13050,,,,,,,,,,,,,
0.0013,0.01680859364569187,4.345e-05,13.1,13100,,,,,,,,,,,,,
0.0013,0.042388614267110825,4.3425000000000005e-05,13.15,13150,,,,,,,,,,,,,
0.0014,0.08048703521490097,4.3400000000000005e-05,13.2,13200,,,,,,,,,,,,,
0.0013,0.020196499302983284,4.3375000000000004e-05,13.25,13250,,,,,,,,,,,,,
0.0013,0.01079764124006033,4.335e-05,13.3,13300,,,,,,,,,,,,,
0.0014,0.022066786885261536,4.3325e-05,13.35,13350,,,,,,,,,,,,,
0.0012,0.018473565578460693,4.33e-05,13.4,13400,,,,,,,,,,,,,
0.0014,0.06118462234735489,4.3275e-05,13.45,13450,,,,,,,,,,,,,
0.0014,0.018958689644932747,4.325e-05,13.5,13500,,,,,,,,,,,,,
0.0013,0.023697705939412117,4.322500000000001e-05,13.55,13550,,,,,,,,,,,,,
0.0015,0.026667816564440727,4.32e-05,13.6,13600,,,,,,,,,,,,,
0.0014,0.024669313803315163,4.3175000000000006e-05,13.65,13650,,,,,,,,,,,,,
0.0013,0.027506789192557335,4.315e-05,13.7,13700,,,,,,,,,,,,,
0.0015,0.03075801581144333,4.3125000000000005e-05,13.75,13750,,,,,,,,,,,,,
0.0013,0.0623285137116909,4.3100000000000004e-05,13.8,13800,,,,,,,,,,,,,
0.0012,0.024060159921646118,4.3075000000000003e-05,13.85,13850,,,,,,,,,,,,,
0.0015,0.07007624208927155,4.305e-05,13.9,13900,,,,,,,,,,,,,
0.0013,0.040325868874788284,4.3025e-05,13.95,13950,,,,,,,,,,,,,
0.0012,0.01638585701584816,4.3e-05,14.0,14000,,,,,,,,,,,,,
,,,14.0,14000,0.008074140176177025,0.6289659441297218,0.09419651701042146,0.05962098601172068,0.22423586691909328,21.6674,46.152,11.538,,,,,
0.0012,0.04523332044482231,4.2975e-05,14.05,14050,,,,,,,,,,,,,
0.0013,0.028962787240743637,4.295e-05,14.1,14100,,,,,,,,,,,,,
0.0016,0.02097862958908081,4.2925000000000007e-05,14.15,14150,,,,,,,,,,,,,
0.0012,0.03459770232439041,4.29e-05,14.2,14200,,,,,,,,,,,,,
0.0012,0.01710052229464054,4.2875000000000005e-05,14.25,14250,,,,,,,,,,,,,
0.0014,0.03232409060001373,4.285e-05,14.3,14300,,,,,,,,,,,,,
0.0013,0.016471168026328087,4.2825000000000004e-05,14.35,14350,,,,,,,,,,,,,
0.0013,0.02634124830365181,4.2800000000000004e-05,14.4,14400,,,,,,,,,,,,,
0.0013,0.02405080571770668,4.2775e-05,14.45,14450,,,,,,,,,,,,,
0.0012,0.0728977844119072,4.275e-05,14.5,14500,,,,,,,,,,,,,
0.0013,0.058163877576589584,4.2725e-05,14.55,14550,,,,,,,,,,,,,
0.0012,0.017785686999559402,4.27e-05,14.6,14600,,,,,,,,,,,,,
0.0012,0.04115256667137146,4.2675e-05,14.65,14650,,,,,,,,,,,,,
0.0013,0.015377584844827652,4.265e-05,14.7,14700,,,,,,,,,,,,,
